Symbol,Profit(%)
ABIO,0.0398
ABUS,0.0709
ACB,0.3259
ADAP,0.1047
AEMD,-0.0755
AGRX,-0.0204
AGTC,-0.0182
AHPI,0.4073
AIHS,-0.037
AIM,0.2258
AKER,0.186
ALLK,0.0744
ALPN,-0.0526
ALT,-0.2182
AMTX,-0.0159
APDN,0.2864
APOP,-0.0598
APRN,0.2402
APT,-0.0405
ARAV,-0.0471
ARMP,0.0703
ASLN,0.2441
ASTC,-0.0139
AUPH,-0.008
AVCT,-0.0256
AYRO,0.2122
AYTU,0.5827
BHTG,-0.0276
BIMI,0.1118
BLNK,0.009
BLPH,-0.0989
BMRA,0.1205
BNGO,0.5721
BNTC,0.0178
BOXL,0.1068
BTAI,-0.019
CAPR,0.1263
CBLI,-0.1044
CCCL,0.0458
CEI,0.0386
CETX,-0.3603
CGIX,0.1474
CHFS,-0.0548
CLDX,0.0889
COCP,-0.2025
CODX,-0.061
COHN,-0.13
CPAH,-0.0146
CPHI,-0.0391
CREG,0.0725
CRIS,0.0779
CRVS,0.0606
CTIB,0.1881
CTRM,0.1028
CTXR,-0.0719
CYCC,0.1419
DARE,-0.1662
DGLY,0.228
DPW,0.0373
DRAD,0.0504
DSS,0.1061
DTSS,-0.0428
ECOR,0.461
EDSA,-0.0771
EKSO,-0.1515
ENT,-0.0242
EQ,0.2712
FCEL,-0.0601
FFHL,0.1527
FRAN,0.0468
FTFT,-0.0355
GENE,0.1629
GLBS,-0.1385
GNPX,0.1007
GPMT,-0.0137
HEPA,0.0317
HTBX,-0.153
HTZ,-0.1218
IBIO,0.4005
ICD,0.0404
IDEX,0.0076
IFMK,0.0075
IMAC,0.4681
IMRN,-0.1001
IMTE,-0.0473
INMB,0.2347
INO,-0.1065
INPX,0.7513
IO,-0.0341
ISEE,-0.1305
ITRM,-0.1355
JAN,0.0168
JFIN,0.0744
JRJC,-0.0622
KNDI,0.0654
KODK,-0.1373
KRTX,0.5424
KTOV,-0.0232
LEE,-0.0102
LEJU,-0.019
LMFA,-0.0452
LMPX,0.038
MARA,-0.0455
MBOT,0.203
MDGS,0.0188
MESO,-0.0361
MFA,0.0078
MGNX,0.1714
MIRM,0.0479
MIST,-0.0605
MITO,-0.0176
MITT,0.0047
MNOV,-0.0259
MOSY,-0.0563
MRIN,0.1053
MTP,-0.11
MTSL,-0.0324
MVIS,0.0119
MXC,0.018
MYO,0.734
MYOS,0.007
MYOV,-0.0845
NAKD,0.1282
NBY,0.0686
NETE,-0.0053
NNDM,0.4788
NNVC,-0.0801
NTN,-0.0865
NTRP,-0.0889
NURO,0.0663
NVAX,-0.0555
NVCN,0.0028
NXTC,0.5762
ONCY,-0.0372
OPGN,0.0958
OSN,-0.0968
OXBR,0.0753
PDSB,-0.1186
PHCF,-0.0957
PHUN,0.0929
PIXY,0.0592
PRPO,-0.1013
PSTI,-0.0436
PSTV,-0.0522
PSV,0.079
PTGX,-0.0697
PULM,-0.0805
REXN,-0.052
RKDA,-0.1273
RMBL,-0.1186
SAEX,-0.0212
SAVA,-0.1536
SFET,-0.0084
SGBX,-0.1373
SINT,-0.1336
SNCA,-0.0797
SNOA,0.0945
SOLO,-0.0073
SPCB,0.0081
SPI,-0.0223
SRNE,0.2289
SVRA,-0.1169
TAOP,-0.0419
TCCO,0.0078
THMO,0.1788
TLRY,0.0112
TLSA,0.0666
TMDI,-0.0041
TNXP,0.1065
TRNX,0.0108
TTOO,-0.0043
TWMC,-0.1611
UAVS,0.1089
UONE,0.1201
VISL,0.099
VIVE,-0.0185
VRNA,-0.0795
VVPR,0.0275
VXRT,-0.0704
WAFU,-0.1959
WATT,-0.0305
WHLM,-0.0759
WIMI,0.3587
WORX,0.122
WTRH,0.1831
WWR,-0.1221
XNET,0.0772
XSPA,-0.204
YGYI,-0.0507
YRIV,-0.0532
